value,true_label,color,predicted_label,predicted_color
-0.19787998787047992,0,red,2,blue
-0.2711968043394664,0,red,2,blue
-0.23243592462739837,0,red,2,blue
-0.03763868883706459,0,red,0,red
-0.3399909008417613,0,red,2,blue
-0.3483600864656542,0,red,2,blue
-0.12163062914666932,0,red,2,blue
-0.23619181399362307,0,red,2,blue
-0.3471925787829335,0,red,2,blue
-0.2274775233524963,0,red,2,blue
-0.3928849960182927,0,red,2,blue
-0.35446710275745036,0,red,2,blue
-0.29049555557186013,0,red,2,blue
-0.5628155116271149,0,red,2,blue
-0.5580193445736443,0,red,2,blue
-0.3471642423194023,0,red,2,blue
-0.4111663346003699,0,red,2,blue
-0.2578236762181793,0,red,2,blue
-0.44333208532283724,0,red,2,blue
-0.5134739252058995,0,red,2,blue
-0.06215451076474897,0,red,0,red
-0.349111642341287,0,red,2,blue
-0.31954413233807855,0,red,2,blue
-0.5430209866034231,0,red,2,blue
-0.38031803112607215,0,red,2,blue
-0.2860999670338919,0,red,2,blue
-0.428684201699204,0,red,2,blue
-0.2747444070652791,0,red,2,blue
-0.3968440107700782,0,red,2,blue
-0.31041115181234247,0,red,2,blue
-0.3527318040835408,0,red,2,blue
-0.049587199420087755,0,red,0,red
-0.3059963934992103,0,red,2,blue
-0.46925432499503966,0,red,2,blue
-0.14041909512233725,0,red,2,blue
-0.5107889881584511,0,red,2,blue
-0.22708728482568036,0,red,2,blue
-0.5587525615132799,0,red,2,blue
-0.4846766571020164,0,red,2,blue
-0.31889371095438607,0,red,2,blue
-0.19800543553892058,0,red,2,blue
-0.28499005475778455,0,red,2,blue
-0.3502332557443481,0,red,2,blue
-0.3269415326482375,0,red,2,blue
-0.46197949436761926,0,red,2,blue
-0.3955824631242996,0,red,2,blue
-0.3436688320802259,0,red,2,blue
-0.19365529580291535,0,red,2,blue
-0.2596383358795841,0,red,2,blue
-0.5876956813557851,0,red,2,blue
-0.24288802195976633,0,red,2,blue
-0.31061064253801596,0,red,2,blue
-0.37955345410297725,0,red,2,blue
-0.255815604822478,0,red,2,blue
-0.16872802875009585,0,red,2,blue
-0.1632307645736589,0,red,2,blue
-0.4283625046989361,0,red,2,blue
-0.31036483251072217,0,red,2,blue
-0.2216851757880841,0,red,2,blue
-0.1508539830413353,0,red,2,blue
-0.3804196760767895,0,red,2,blue
-0.35072250690110357,0,red,2,blue
-0.4958719606553882,0,red,2,blue
-0.48367939476888644,0,red,2,blue
-0.1937742444984053,0,red,2,blue
-0.09061640326577947,0,red,2,blue
-0.294367786626947,0,red,2,blue
-0.20106820258722682,0,red,2,blue
-0.25933101133037817,0,red,2,blue
-0.42305582391000074,0,red,2,blue
-0.28320967279911585,0,red,2,blue
-0.04975856785408321,0,red,0,red
-0.3508750453679145,0,red,2,blue
-0.08680768457646901,0,red,2,blue
-0.7036675400397714,0,red,2,blue
-0.14583241156856724,0,red,2,blue
-0.28198563422577266,0,red,2,blue
-0.3691479613901227,0,red,2,blue
-0.2867803378163229,0,red,2,blue
-0.5579360555476639,0,red,2,blue
-0.2852544954132477,0,red,2,blue
-0.27745205538287376,0,red,2,blue
-0.05237604260467728,0,red,0,red
-0.32986406574891664,0,red,2,blue
-0.3726962073771367,0,red,2,blue
-0.357417725919157,0,red,2,blue
-0.15756052556859668,0,red,2,blue
-0.2631865088890247,0,red,2,blue
-0.34967961826690924,0,red,2,blue
-0.22428362166157345,0,red,2,blue
-0.2685273541881763,0,red,2,blue
-0.17016712134148343,0,red,2,blue
-0.37613565428242046,0,red,2,blue
-0.31389127339902956,0,red,2,blue
-0.39080884114737474,0,red,2,blue
-0.473679297280997,0,red,2,blue
-0.2540926156291291,0,red,2,blue
-0.22861461844639763,0,red,2,blue
-0.30614667739246104,0,red,2,blue
-0.34527158201943237,0,red,2,blue
-0.45865757666765444,0,red,2,blue
-0.3843713052855177,0,red,2,blue
-0.31404591920081526,0,red,2,blue
-0.41505708224074606,0,red,2,blue
-0.3213996998303807,0,red,2,blue
-0.2620117516914926,0,red,2,blue
-0.025948811673213334,0,red,0,red
-0.29278984931275703,0,red,2,blue
-0.30964993302037247,0,red,2,blue
-0.3333283818395443,0,red,2,blue
-0.620717323236042,0,red,2,blue
-0.2559141495194497,0,red,2,blue
-0.24490744104170742,0,red,2,blue
0.03787057003575495,0,red,0,red
-0.30436686309249905,0,red,2,blue
-0.2727741560363817,0,red,2,blue
-0.2877996698405151,0,red,2,blue
-0.4347330287803137,0,red,2,blue
-0.09370482316312251,0,red,2,blue
-0.20363938313283603,0,red,2,blue
-0.15980139092652795,0,red,2,blue
-0.4520139621390551,0,red,2,blue
-0.052581695646069945,0,red,0,red
-0.545674718666363,0,red,2,blue
-0.20665299322716774,0,red,2,blue
0.025727803544824443,0,red,0,red
-0.4212784347948896,0,red,2,blue
-0.41804783507562426,0,red,2,blue
-0.24205419045109344,0,red,2,blue
-0.4030838819325711,0,red,2,blue
-0.507021585164988,0,red,2,blue
-0.31803612320295865,0,red,2,blue
-0.4695107902289492,0,red,2,blue
-0.22837806198303623,0,red,2,blue
-0.4383068803063365,0,red,2,blue
-0.11478361426590157,0,red,2,blue
-0.44367510263744364,0,red,2,blue
-0.3537318975973709,0,red,2,blue
-0.15922299396962908,0,red,2,blue
-0.4342740362894199,0,red,2,blue
-0.309419541332696,0,red,2,blue
-0.1258317081376667,0,red,2,blue
-0.5673079027880982,0,red,2,blue
-0.32222958125577417,0,red,2,blue
-0.24707515451025064,0,red,2,blue
-0.17918860493924585,0,red,2,blue
-0.5086293357495939,0,red,2,blue
-0.5133594817655962,0,red,2,blue
-0.27381554054938184,0,red,2,blue
-0.2245053041602283,0,red,2,blue
-0.2171059017714816,0,red,2,blue
-0.2874588706674811,0,red,2,blue
-0.42302249702399913,0,red,2,blue
-0.23031341476166806,0,red,2,blue
-0.21590691355465935,0,red,2,blue
-0.4090618080866531,0,red,2,blue
-0.08107739097399796,0,red,2,blue
-0.2790507223254872,0,red,2,blue
-0.4610807696577474,0,red,2,blue
-0.21785978733518616,0,red,2,blue
-0.4849755609454284,0,red,2,blue
-0.1803641886339814,0,red,2,blue
-0.1850195882273198,0,red,2,blue
-0.387324810686351,0,red,2,blue
-0.1831147589652813,0,red,2,blue
-0.28759816118282344,0,red,2,blue
-0.17490791516660426,0,red,2,blue
-0.041984522448361795,0,red,0,red
-0.2873230788339292,0,red,2,blue
-0.4021745243581736,0,red,2,blue
-0.44827241892659747,0,red,2,blue
-0.3944291104687607,0,red,2,blue
-0.3337546280592864,0,red,2,blue
-0.21132949589763728,0,red,2,blue
-0.27339781484962583,0,red,2,blue
-0.17803176678692084,0,red,2,blue
-0.34310394443455267,0,red,2,blue
-0.10182711567604309,0,red,2,blue
-0.3041917743278837,0,red,2,blue
0.11525489327034998,0,red,0,red
-0.23908541924031979,0,red,2,blue
-0.4486124770363925,0,red,2,blue
-0.41971653823883914,0,red,2,blue
-0.18872825467228582,0,red,2,blue
-0.3720663180420482,0,red,2,blue
-0.20401921782876473,0,red,2,blue
